,IPSA
2021-06-10,1000.0
2021-06-11,1007.5696367568554
2021-06-14,1018.4263856956575
2021-06-15,1024.4307273913637
2021-06-16,1023.5641577866647
2021-06-17,1017.6260952279313
2021-06-18,1009.2785605123746
2021-06-22,1028.4557500087062
2021-06-23,1027.5184780713046
2021-06-24,1040.6309077342535
2021-06-25,1022.776082023102
2021-06-29,1016.0661233682606
2021-06-30,1019.1866136471426
2021-07-01,1019.8950070334351
2021-07-02,1012.0164196038318
2021-07-05,1006.451590306376
2021-07-06,978.9098503428917
2021-07-07,988.0698670435098
2021-07-08,982.6025800401567
2021-07-09,995.3012038794338
2021-07-12,993.1178292344727
2021-07-13,982.2470581025535
2021-07-14,971.6366750188464
2021-07-15,970.5295719377128
2021-07-19,988.8229458879701
2021-07-20,1002.190815263969
2021-07-21,997.2642500131914
2021-07-22,998.2578468060244
2021-07-23,976.6682117480482
2021-07-26,967.3069996643917
2021-07-27,967.393658837917
2021-07-28,973.1670287973157
2021-07-29,991.4065713024547
2021-07-30,991.8822217563182
2021-08-02,982.1536011114939
2021-08-03,980.785261050198
2021-08-04,981.2396645364907
2021-08-05,987.5888852577792
2021-08-06,996.612656734038
2021-08-09,987.3577033909324
2021-08-10,1011.5999171936589
2021-08-11,1019.213864797589
2021-08-12,1022.0427457271051
2021-08-13,1027.9982235921739
2021-08-16,1011.0430978989347
2021-08-17,1008.6492974237791
2021-08-18,1012.2919871758075
2021-08-19,1004.6206122046466
2021-08-20,1012.8701025669111
2021-08-23,1020.3375592283312
2021-08-24,1013.9800072924659
2021-08-25,1030.343281673708
2021-08-26,1033.3541437100916
2021-08-27,1037.6626284653694
2021-08-30,1047.2292941386465
2021-08-31,1042.8258974757186
2021-09-01,1033.3027275911681
2021-09-02,1028.128214714514
2021-09-03,1034.6401956910508
2021-09-06,1033.7585500388423
2021-09-07,1027.3237646242817
2021-09-08,1013.822886550997
2021-09-09,1020.6665315289638
2021-09-10,1033.9909187414898
2021-09-13,1021.3171258489837
2021-09-14,1023.5428974815801
2021-09-15,1027.7214583126488
2021-09-16,1035.0773863088712
2021-09-20,994.9948255980161
2021-09-21,996.9219706632427
2021-09-22,1013.6652143032217
2021-09-23,1020.5996923410263
2021-09-24,1013.0563874882982
2021-09-27,1005.6620905972788
2021-09-28,999.7699253552092
2021-09-29,1002.0661368115544
2021-09-30,1008.7718353365241
2021-10-01,999.5498653714795
2021-10-04,979.7687406975333
2021-10-05,972.5342546419906
2021-10-06,936.899459143153
2021-10-07,933.7914186202405
2021-10-08,936.4042079077698
2021-10-12,928.2398644627173
2021-10-13,898.2506016668863
2021-10-14,896.2038364656925
2021-10-15,894.3490932489617
2021-10-18,901.7087209486285
2021-10-19,900.0237665090918
2021-10-20,906.6439097469472
2021-10-21,908.2971193948695
2021-10-22,913.84037552195
2021-10-25,931.4035564665746
2021-10-26,947.0271597349387
2021-10-27,916.656499325849
2021-10-28,912.9619628506179
2021-10-29,910.4019604915517
2021-11-02,936.418794075466
2021-11-03,961.2391665772915
2021-11-04,993.7624887789287
2021-11-05,973.387965787181
2021-11-08,969.528158914021
2021-11-09,995.4193480223458
2021-11-10,1002.9840622678878
2021-11-11,1008.0303653245375
2021-11-12,1000.1566529679764
2021-11-15,978.2967401337606
2021-11-16,959.5733493259381
2021-11-17,955.2930472162042
2021-11-18,951.9592533768778
2021-11-19,968.8182946657803
2021-11-22,1059.6882943218477
2021-11-23,1042.6914620082075
2021-11-24,1027.4742564033509
2021-11-25,1021.1234591541534
2021-11-26,1017.3282686437512
2021-11-29,999.5139882070561
2021-11-30,975.6468304811184
2021-12-01,959.2149529316298
2021-12-02,968.9869862418203
2021-12-03,970.7846417214772
2021-12-06,966.510950580174
2021-12-07,971.8226583154487
2021-12-09,975.8401936690315
2021-12-10,973.6027471112749
2021-12-13,951.1207035750145
2021-12-14,922.9003725564297
2021-12-15,943.3101284871091
2021-12-16,973.4500239567276
2021-12-17,962.3505767149147
2021-12-20,898.1488972219848
2021-12-21,911.1841228272835
2021-12-22,907.882011761527
2021-12-23,935.7223220629022
2021-12-24,945.3980978033827
2021-12-27,942.6269805828122
2021-12-28,940.2822823019446
2021-12-29,936.2306300017318
2021-12-30,952.642085256302
2022-01-03,947.6540908732702
2022-01-04,940.5675732009299
2022-01-05,941.5999845454011
2022-01-06,947.6773985189993
2022-01-07,936.1206782081497
2022-01-10,935.0381301635615
2022-01-11,959.2493975284491
2022-01-12,987.0480181134808
2022-01-13,989.1466758545545
2022-01-14,982.9879076318114
2022-01-17,981.2070514551143
2022-01-18,986.5427834904484
2022-01-19,976.6685225122435
2022-01-20,979.984634659038
2022-01-21,1014.1503124968647
2022-01-24,980.0335785143524
2022-01-25,986.5520811455364
2022-01-26,993.1707500029217
2022-01-27,994.3356762369901
2022-01-28,989.1825142269956
2022-01-31,994.0805699185094
2022-02-01,1004.9526983383978
2022-02-02,994.7222754333357
2022-02-03,972.5992987315032
2022-02-04,968.3301542546777
2022-02-07,979.7472329806195
2022-02-08,1003.1762338511243
2022-02-09,1007.9150322790198
2022-02-10,1016.5251618119618
2022-02-11,1018.4413641812722
2022-02-14,1006.7287429356055
2022-02-15,1015.4312000231487
2022-02-16,1017.5894316813541
2022-02-17,994.4765506209187
2022-02-18,994.8610002861639
2022-02-21,988.2142726288291
2022-02-22,975.8498325497824
2022-02-23,957.8120023620447
2022-02-24,965.9302139286997
2022-02-25,980.9692409967104
2022-02-28,997.0391057032532
2022-03-01,976.6277327216283
2022-03-02,988.1943017706302
2022-03-03,1009.8846471397273
2022-03-04,1028.1223778220044
2022-03-07,1020.5491488653126
2022-03-08,1011.5813774527688
2022-03-09,1028.050347025897
2022-03-10,1020.0082232767569
2022-03-11,1023.6281707834125
2022-03-14,1012.9330790593665
2022-03-15,1019.5349546307357
2022-03-16,1035.2897149239152
2022-03-17,1056.7107775637282
2022-03-18,1069.0361855537878
2022-03-21,1099.2041808415704
2022-03-22,1075.9064652324903
2022-03-23,1064.491381704046
2022-03-24,1089.216438116556
2022-03-25,1090.5044101768647
2022-03-28,1077.4360115124355
2022-03-29,1070.9383467717205
2022-03-30,1071.184497611396
2022-03-31,1081.1244665979987
2022-04-01,1091.3149070272311
2022-04-04,1093.5301397306898
2022-04-05,1078.552348777441
2022-04-06,1087.661247798557
2022-04-07,1088.1843530168235
2022-04-08,1090.3152859656752
2022-04-11,1075.7046818660244
2022-04-12,1073.897801751936
2022-04-13,1079.1738048808286
2022-04-14,1078.2166401969287
2022-04-18,1067.9027805811088
2022-04-19,1079.6189368496991
2022-04-20,1088.7034048895616
