Date,IPSA
2025-01-02,1000.0
2025-01-03,1000.5122890553068
2025-01-06,1011.6193567680758
2025-01-07,1015.043976757557
2025-01-08,1011.4850182394059
2025-01-09,1015.1920655276618
2025-01-10,1016.7760225598141
2025-01-13,1006.2159603515837
2025-01-14,1015.4366841027553
2025-01-15,1026.2669324534745
2025-01-16,1035.5944535176866
2025-01-17,1035.490841427919
2025-01-20,1041.2088858534376
2025-01-21,1047.1167055523786
2025-01-22,1046.2200873081322
2025-01-23,1051.283184709193
2025-01-24,1053.1440812524481
2025-01-27,1044.7288270725876
2025-01-28,1047.439971724214
2025-01-29,1056.1434008121569
2025-01-30,1076.6373918216732
2025-01-31,1072.8457146268609
2025-02-03,1072.6058709953863
2025-02-04,1081.2791559819184
2025-02-05,1083.9578409278686
2025-02-06,1087.9647470762166
2025-02-07,1083.9237510697624
2025-02-10,1086.8295181224485
2025-02-11,1084.1758721484118
2025-02-12,1084.9497401860833
2025-02-13,1092.0635188187402
2025-02-14,1094.6657115849835
2025-02-17,1086.7048925561915
2025-02-18,1086.9109201138015
2025-02-19,1085.0335452234697
2025-02-20,1091.1867748597372
2025-02-21,1088.2426252372998
2025-02-24,1088.7800498626402
2025-02-25,1089.8478202070144
2025-02-26,1096.161326152663
2025-02-27,1100.9581568868912
2025-02-28,1093.3692985054788
2025-03-03,1094.8363648423879
2025-03-04,1089.335562834551
2025-03-05,1093.0722999106563
2025-03-06,1097.7888455950222
2025-03-07,1097.198481184042
2025-03-10,1096.7928203631147
2025-03-11,1095.3586735469928
2025-03-12,1099.6329310891174
2025-03-13,1107.2595310040795
2025-03-14,1113.0539487234578
2025-03-17,1124.2805235635726
2025-03-18,1122.9927383283994
2025-03-19,1124.993095289654
2025-03-20,1122.111590168132
2025-03-21,1121.2872553543461
2025-03-24,1120.219785882516
2025-03-25,1114.4480540619693
2025-03-26,1112.6764164598299
2025-03-27,1122.0049237440817
2025-03-28,1127.8149682048302
2025-03-31,1119.9798455886553
2025-04-01,1125.0267760619136
2025-04-02,1128.713886167393
2025-04-03,1132.1241821795013
2025-04-04,1099.084384774924
2025-04-07,1061.1726756236405
2025-04-08,1051.533669379754
2025-04-09,1095.4761825186029
2025-04-10,1078.6529399143299
2025-04-11,1089.1378556891673
2025-04-14,1111.7774354171431
2025-04-15,1126.6075366147566
2025-04-16,1129.5781188981289
2025-04-17,1144.0078934135697
2025-04-21,1134.722046853471
2025-04-22,1141.3585479626865
2025-04-23,1154.138061701713
2025-04-24,1156.900132676587
2025-04-25,1155.792462466572
2025-04-28,1156.8675959309196
2025-04-29,1170.2196318134058
2025-04-30,1167.221525718619
2025-05-02,1167.7426695077831
2025-05-05,1163.0197387537073
2025-05-06,1165.5425622789624
2025-05-07,1186.3564394296877
2025-05-08,1186.9686947558969
2025-05-09,1197.1538015194985
2025-05-12,1211.629736029717
2025-05-13,1216.713055578289
2025-05-14,1232.4704416188922
2025-05-15,1226.1248319627448
2025-05-16,1219.9924915122315
2025-05-19,1218.6351246963347
2025-05-20,1223.4059970760081
2025-05-22,1218.2180395739551
2025-05-23,1224.2806508524382
2025-05-26,1223.2899199444962
2025-05-27,1215.227147732683
2025-05-28,1202.682446843515
2025-05-29,1194.4160509821054
2025-05-30,1176.8948782244104
2025-06-02,1174.759352214566
2025-06-03,1182.366353894773
2025-06-04,1190.637690475598
2025-06-05,1188.6197917826498
2025-06-06,1189.0729856512398
2025-06-09,1190.6300944729094
2025-06-10,1201.1490253641086
2025-06-11,1214.843823851143
2025-06-12,1207.2758032969452
2025-06-13,1196.5392441479314
2025-06-16,1191.4174108770158
2025-06-17,1183.3164108714736
2025-06-18,1180.926079613049
2025-06-19,1181.4600292791288
2025-06-23,1174.8263022758338
2025-06-24,1189.4872854831085
2025-06-25,1189.5002758816775
2025-06-26,1195.093765983698
2025-06-27,1200.5443556240457
2025-06-30,1202.3641356378928
2025-07-01,1199.0555870734288
2025-07-02,1207.829047272989
2025-07-03,1211.2765583684215
2025-07-04,1211.4400467294392
2025-07-07,1207.7579926064716
2025-07-08,1217.6208066919742
2025-07-09,1216.9733329339983
2025-07-10,1220.4991589472227
2025-07-11,1206.1501368140027
2025-07-14,1205.396168283457
2025-07-15,1194.8721193707017
2025-07-17,1202.3157158080828
2025-07-18,1196.3308169446188
2025-07-21,1187.9472948748223
2025-07-22,1184.5343651517755
2025-07-23,1190.0892265220652
2025-07-24,1188.8225384132845
2025-07-25,1198.7482437145734
2025-07-28,1177.5436134490537
2025-07-29,1188.4064064237095
2025-07-30,1189.0197617765036
2025-07-31,1200.706542564778
2025-08-01,1197.5610716536419
2025-08-04,1203.9328352775976
2025-08-05,1205.0347388675666
2025-08-06,1210.0143277701422
2025-08-07,1224.2275878872629
2025-08-08,1244.2662432325012
2025-08-11,1253.8496808685006
2025-08-12,1251.1835721747304
2025-08-13,1274.3785810690676
2025-08-14,1275.4248772009764
2025-08-18,1289.608489379197
2025-08-19,1279.2692033983299
2025-08-20,1272.4983911224317
2025-08-21,1279.8001227879374
2025-08-22,1300.4593554314267
2025-08-25,1306.5968069542469
2025-08-26,1301.337754328864
2025-08-27,1307.6513881522087
2025-08-28,1316.1543028162384
2025-08-29,1312.645465579185
2025-09-01,1316.7786053146312
2025-09-02,1323.9987135339757
2025-09-03,1336.0332807536115
2025-09-04,1352.302428404075
2025-09-05,1354.0227587865656
2025-09-08,1332.3712553647017
2025-09-09,1316.767736496777
2025-09-10,1315.5561931501868
2025-09-11,1340.5529330918027
2025-09-12,1319.9589905507364
2025-09-15,1330.7910746924574
2025-09-16,1328.5001060423758
2025-09-17,1323.0666057100186
2025-09-22,1335.3385450739224
2025-09-23,1339.5041946803872
2025-09-24,1331.9288142926875
2025-09-25,1314.718592561573
2025-09-26,1315.6944651177457
2025-09-29,1311.93700179206
2025-09-30,1309.9045776964945
2025-10-01,1301.5050562100214
2025-10-02,1293.191220682321
2025-10-03,1290.7957041038896
2025-10-06,1281.1201538823682
2025-10-07,1280.9949060122274
2025-10-08,1290.3379332090412
2025-10-09,1274.0309070121177
2025-10-10,1255.0817390771717
2025-10-13,1269.0572861268358
2025-10-14,1302.6743013409023
2025-10-15,1313.1039443449936
2025-10-16,1312.736361284078
2025-10-17,1314.9376374223853
2025-10-20,1317.213531228401
2025-10-21,1313.3078726966594
2025-10-22,1302.5650017187213
2025-10-23,1315.7446212844159
2025-10-24,1321.1485360762413
2025-10-27,1319.2680999696308
2025-10-28,1323.1999333299834
2025-10-29,1334.7492518733814
2025-10-30,1344.7957659746053
2025-11-03,1355.85045019051
2025-11-04,1329.031749795119
2025-11-05,1344.5697333751887
2025-11-06,1347.8719593025971
2025-11-07,1364.2618262715223
2025-11-10,1370.2130719839672
2025-11-11,1378.9881311136858
2025-11-12,1405.8441030402018
2025-11-13,1381.406900747502
2025-11-14,1364.0290728111609
2025-11-17,1403.7114279970622
