ticker,name
CFIHMCRGPB.SN,Nevasa HMC SA Administradora General De Fondos - Fondo de Inversion HMC Renta Global Pesos
CFIHMCRGPC.SN,HMC SA ADMINISTRADORA GENERAL D
CFIHMCUSBP.SN,BCI Asset Management Administradora- FI HMC US Venture Opportunities Fund
CFIHYUF-A.SN,Larrainvial Asset Management ADM GE - Fundo De Inversion Larrainvial Deuda Latam
CFIIMDLAT.SN,Moneda Deuda Latinoamericana fondo de inversion
CFILBKA3-E.SN,SINGULAR ASSET MANAGM ADM GEN F
CFILTLIQ-A.SN,AMICORP GESTION GEN DE FONDOS S
CFILVCOR-A.SN,Larrain Vial Deuda Corporativa Chile Fondo de Inversion
CFILVCOR-I.SN,Larrain Vial Deuda Corporativa Chile Fondo de Inversion
CFILVCOR-O.SN,Fondo De Inversion Larrainvial Deuda Corporativa Fund
CFILVDPU-E.SN,Larrainvial Asset Management Administradora General - Fondo De Inversion Larrainvial Deuda Privada F
CFILVFA-L.SN,Fondo De Inversion Larrainvial Facturas
CFILVPARI1.SN,Aurus Capital Renta Inmobiliaria Fondo de Inversión
CFILVSCC-U.SN,Fondo de Inversion LarrainVial Small Cap Chile Fund
CFIMBD3A-E.SN,MBI ADMINISTRADORA GENERAL DE F
CFIMBDPA-E.SN,MBI Administradora General de Fondos S.A. - MBI Deuda Privada Fondo de Inversion
CFIMBIAR-A.SN,MBI Arbitrage Fondo de Inversion
CFIMBIDA-A.SN,MBI Administradora General De Fondo - MBI Deuda Alternativa Fondo De Inversion
CFIMBIDT-A.SN,MBI Administradora General De Fondo - MBI Deuda Total Fondo De Inversion
CFIMBIDT-B.SN,MBI Administradora General De Fondo - MBI Deuda Total Fondo De Inversion
CFIMBIDT-I.SN,MBI Administradora General De Fondo - MBI Deuda Total Fondo De Inversion
CFIMBIGF-A.SN,MBI Administradora General De Fondo - MBI Global Fixed Income Fondo De Inversion
CFIMBIGL-A.SN,MBI Oportunidades Fondo de Inversión
CFIMBILA-A.SN,MBI Best Ideas Latam Fondo De Inversion
CFIMBIRF-A.SN,MBI Deuda Plus Fondo De Inversion
CFIMBIRF-D.SN,MBI Administradora General de Fondos S.A. - MBI Deuda Privada Fondo de Inversion
CFIMBIRFUS.SN,MBI Renta Fija Plus Dólar Fondo De Inversión
CFIMDCHA.SN,Moneda Deuda Chile Fondo de Inversión
CFIMDCHD.SN,Moneda Deuda Chile Fondo de Inversión
CFIMDCHE.SN,Moneda Deuda Chile Fondo de Inversión
CFIMDCHI.SN,Moneda Deuda Chile Fondo de Inversión
CFIMDLIG-I.SN,Moneda Deuda Latam Investment Grade Fondo de Inversión
CFIMRVCHA.SN,Moneda Renta Variable Chile Fondo de Inversion
CFIMRVIA.SN,Moneda Renta Variable Internacional Fondo de Inversión
CFINASDAQ.SN,Fondo de Inversión ETF Singular NASDAQ 100
CFINHRFLA.SN,Fondo De Inversion Nevasa HMC Renta Fija Local
CFINHRFLB.SN,Fondo De Inversion Nevasa HMC Renta Fija Local
CFINRENTAS.SN,Fondo de Inversion Independencia Rentas Inmobiliarias
CFIPIONERO.SN,Pionero Fondo De Inversion
CFIPIONR.SN,MONEDA SA ADMIN GENERAL DE FOND
CFIQAC.SN,Quest Acciones Chile Fondo de Inversión
CFIQRGA-E.SN,QUEST ADMINISTRADORA GENERAL FD
CFIQRGH.SN,Chg Renta Global Fondo De Inversion
CFIQRL-A.SN,CHG Renta Local Fondo de Inversión
CFIQRL-B.SN,CHG Renta Local Fondo de Inversión
CFISCCH.SN,BTG Pactual Small Cap Chile
CFISECHYCF.SN,Fondo De Inversion Security Hy Chile Serie F - Cuota De Fondo De Inversion
CFISECRFN1.SN,Fondo De Inversion Security Renta Fija Nacional
CFISMH1B-E.SN,Singular Asset Management Adm Gen Fondos SA - Fondo de Inversion Singular Residential Fund
CFITDPFI-E.SN,Toesca SA Adm General De Fondos - Toesca Deuda Privada Facturas FI Fund
CFITDPX1-E.SN,TOESCA SA ADM GENERAL DE FONDOS
CFITODPA-E.SN,Toesca SA Administrative General De Fondos- Toesca Deuda Privada Fondo De Inversion
CFITODPF-E.SN,Toesca SA Administrative General De Fondos- Toesca Deuda Privada Fondo De Inversion
CFITODPX-E.SN,TOESCA SA ADM GENERAL DE FONDOS
CFIWEG-1.SN,Weg ADM General De Fondos SA - Fondo De Inversion Weg-1 Fund
CFMCGACHA.SN,Fondo Mutuo Compass Acciones Chilenas
CFMCGACHB.SN,Fondo Mutuo Compass Acciones Chilenas
CFMCGACHD.SN,Fondo Mutuo Compass Acciones Chilenas
CFMCHAF.SN,BTG PACTUAL CHILE SA AD GEN DE 
CFMITAFDF4.SN,Fondo Mutuo Itau Dinamico
CFMLVENFIR.SN,LARRAINVIAL ASSET MANAGEMENT AD
CFMLVENFR.SN,LARRAINVIAL ASSET MANAGEMENT AD
CFMTOEEQUB.SN,Fondo Mutuo Toesca Chile Equities
CGE.SN,Compañía General de Electricidad S.A.
CGET.SN,CGE Transmisión S.A.
CHILE.SN,Banco de Chile
CINTAC.SN,Cintac S.A.
CMPC.SN,Empresas CMPC S.A.
COLBUN.SN,Colbún S.A.
COLO-COLO.SN,Blanco y Negro S.A.
CONCHATORO.SN,Viña Concha y Toro S.A.
COPEC.SN,Empresas Copec S.A.
CRISTALES.SN,Cristalerías de Chile S.A.
CUPRUM.SN,Administradora de Fondos de Pensiones Cuprum S.A.
DUNCANFOX.SN,Duncan Fox S.A.
EISA.SN,Echeverría Izquierdo S.A.
EMBONOR-A.SN,Coca-Cola Embonor S.A.
EMBONOR-B.SN,Coca-Cola Embonor S.A.
ENAEX.SN,Enaex S.A.
ENELAM.SN,Enel Américas S.A.
ENELCHILE.SN,Enel Chile S.A.
ENELGXCH.SN,Enel Generación Chile S.A.
ENJOY.SN,Enjoy S.A.
ENLASA.SN,Energía Latina S.A.
ENTEL.SN,Empresa Nacional de Telecomunicaciones S.A.
ESVAL-C.SN,Esval S.A.
FALABELLA.SN,Falabella S.A.
FORUS.SN,Forus S.A.
GASCO.SN,Empresas Gasco S.A.
GASCOINV.SN,Gasco Inversiones S.A.
HABITAT.SN,Administradora de Fondos de Pensiones Habitat S.A.
HIPERMARC.SN,Hipermarc S.A.
HITES.SN,Empresas Hites S.A.
IAM.SN,Inversiones Aguas Metropolitanas S.A.
IANSA.SN,Empresas Iansa S.A.
ILC.SN,Inversiones La Construcción S.A.
INDISA.SN,Instituto de Diagnóstico S.A.
INGEVEC.SN,Ingevec S.A.
INVERCAP.SN,Invercap S.A.
LAS-CONDES.SN,Clínica Las Condes S.A.
LIPIGAS.SN,Empresas Lipigas S.A.
LTM.SN,LATAM Airlines Group S.A.
MALLPLAZA.SN,Plaza S.A.
MANQUEHUE.SN,Inmobiliaria Manquehue S.A.
MARINSA.SN,Marítima de Inversiones S.A.
MASISA.SN,Masisa S.A.
MELON.SN,Melon S.A.
MINERA.SN,Minera Valparaiso S.A.
MOLLER.SN,Empresa Constructora Moller y Pérez Cotapos S.A.
MOLYMET.SN,Molibdenos y Metales S.A.
MULTI-X.SN,Multiexport Foods S.A.
NITRATOS.SN,Nitratos de Chile S.A.
NORTEGRAN.SN,Norte Grande S.A.
NUAM.SN,Holding Bursátil Regional S.A.
NUTRAVALOR.SN,Inversiones Nutravalor S.A.
ORO-BLANCO.SN,Sociedad de Inversiones Oro Blanco S.A.
OXIQUIM.SN,Oxiquim S.A.
PARAUCO.SN,Parque Arauco S.A.
PASUR.SN,Forestal Constructora y Comercial del Pacifico Sur SA
PAZ.SN,Paz Corp S.A.
PEHUENCHE.SN,Empresa Eléctrica Pehuenche S.A.
PLANVITAL.SN,Administradora de Fondos de Pensiones PlanVital S.A.
PROVIDA.SN,Administradora de Fondos de Pensiones Provida S.A.
PUCOBRE.SN,Sociedad Punta del Cobre S.A.
QUINENCO.SN,Quiñenco SA
RIPLEY.SN,Ripley Corp S.A.
SALFACORP.SN,SalfaCorp S.A.
SCHWAGER.SN,Schwager S.A.
SIEMEL.SN,Inversiones Siemel S.A.
SK.SN,Sigdo Koppers S.A.
SMSAAM.SN,Sociedad Matriz SAAM S.A.
SMU.SN,SMU S.A.
SOCOVESA.SN,Socovesa S.A.
SOFRUCO.SN,Sociedad Agrícola La Rosa Sofruco S.A.
SONDA.SN,Sonda S.A.
SOQUICOM.SN,Soquimich Comercial S.A.
SQM-A.SN,Sociedad Química y Minera de Chile S.A.
SQM-B.SN,Sociedad Química y Minera de Chile S.A.
TRICOT.SN,Empresas Tricot S.A.
VAPORES.SN,Compañía Sud Americana de Vapores S.A.
VICONTO.SN,Frutícola Viconto S.A.
VOLCAN.SN,Compañía Industrial El Volcán S.A.
WATTS.SN,Watt's S.A.
ZOFRI.SN,Zona Franca de Iquique S.A.
